students: 25

name: Y
numClass: 1
classList: ELECTRONICS, 

name: D
numClass: 1
classList: DS, 

name: O
numClass: 3
classList: CALCULUS, ELECTRONICS, DS, 

name: K
numClass: 1
classList: CALCULUS, 

name: U
numClass: 1
classList: ELECTRONICS, 

name: N
numClass: 1
classList: DS, 

name: E
numClass: 1
classList: DS, 

name: t
numClass: 2
classList: DS, OOP, 

name: o
numClass: 1
classList: OOP, 

name: C
numClass: 1
classList: OOP, 

name: h
numClass: 3
classList: ELECTRONICS, DS, OOP, 

name: f
numClass: 1
classList: DM, 

name: i
numClass: 2
classList: DS, DM, 

name: n
numClass: 1
classList: DM, 

name: d
numClass: 1
classList: DM, 

name: s
numClass: 1
classList: DS, 

name: l
numClass: 1
classList: DS, 

name: a
numClass: 2
classList: ELECTRONICS, DS, 

name: b
numClass: 1
classList: DS, 

name: v
numClass: 1
classList: ELECTRONICS, 

name: e
numClass: 2
classList: ELECTRONICS, OOP, 

name: c
numClass: 1
classList: OOP,

name: k
numClass: 1
classList: OOP, 

name: T
numClass: 1
classList: DM, 

name: A
numClass: 1
classList: DM, 
