Class: ELECTRONICS,
        Amy, Cindy, Emma, Kenny, Susan, Vivian, Wade, 
Class: DS,
        Ben, Cindy, Frank, Gary, Hary, Kenny, Mary, Patty, Rebecca, Susan, Teresa, 
Class: CALCULUS,
        Cindy, David, 
Class: OOP,
        Hary, Iris, Jay, Kenny, Wade, Yvonne, Zoe, 
Class: DM,
        Leo, Mary, Nichol, Oliver, Zora, Sherry, 

#studens: 25
Name  # Classes
     Amy   1 ELECTRONICS, 
     Ben   1 DS, 
   Cindy   3 CALCULUS, ELECTRONICS, DS, 
   David   1 CALCULUS, 
    Emma   1 ELECTRONICS, 
   Frank   1 DS, 
    Gary   1 DS, 
    Hary   2 DS, OOP, 
    Iris   1 OOP, 
     Jay   1 OOP, 
   Kenny   3 ELECTRONICS, DS, OOP, 
     Leo   1 DM, 
    Mary   2 DS, DM, 
  Nichol   1 DM, 
  Oliver   1 DM, 
   Patty   1 DS, 
 Rebecca   1 DS, 
   Susan   2 ELECTRONICS, DS, 
  Teresa   1 DS, 
  Vivian   1 ELECTRONICS, 
    Wade   2 ELECTRONICS, OOP, 
  Yvonne   1 OOP, 
     Zoe   1 OOP, 
    Zora   1 DM, 
  Sherry   1 DM, 
